Year,Experiment name,Field,X,Y,Plot length,Plot rows,Row Spacing,Final population,Planting rate,Plot number,Rep,Barcode,Trt,Trt Description,Placement,Timing,TrtByV6,Hybrid,Plot Notes,V6NDVI
2020,N sidedress timing,C800,281,2,37.5,2,30,36000,37895,1001,1,20349B1001,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC61-40,,0.371188679
2020,N sidedress timing,C800,285,2,37.5,2,30,36000,37895,1002,1,20349B1002,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC66-17,,0.380302083
2020,N sidedress timing,C800,289,2,37.5,2,30,36000,37895,1003,1,20349B1003,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC63-90,,0.40552
2020,N sidedress timing,C800,293,2,37.5,2,30,36000,37895,1004,1,20349B1004,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC63-90,,0.335905263
2020,N sidedress timing,C800,297,2,37.5,2,30,36000,37895,1005,1,20349B1005,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC63-90,,0.365680412
2020,N sidedress timing,C800,301,2,37.5,2,30,36000,37895,1006,1,20349B1006,1,180 Broad,Broad,Pre,180 Broad,DKC64-34,,0.393268041
2020,N sidedress timing,C800,305,2,37.5,2,30,36000,37895,1007,1,20349B1007,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC64-34,,0.444925926
2020,N sidedress timing,C800,309,2,37.5,2,30,36000,37895,1008,1,20349B1008,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC63-90,,0.36022449
2020,N sidedress timing,C800,313,2,37.5,2,30,36000,37895,1009,1,20349B1009,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC63-90,,0.295106383
2020,N sidedress timing,C800,317,2,37.5,2,30,36000,37895,1010,1,20349B1010,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC66-17,,0.356747475
2020,N sidedress timing,C800,321,2,37.5,2,30,36000,37895,1011,1,20349B1011,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC61-40,,0.330276596
2020,N sidedress timing,C800,325,2,37.5,2,30,36000,37895,1012,1,20349B1012,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC63-90,,0.301757576
2020,N sidedress timing,C800,329,2,37.5,2,30,36000,37895,1013,1,20349B1013,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC63-90,,0.32254
2020,N sidedress timing,C800,333,2,37.5,2,30,36000,37895,1014,1,20349B1014,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC66-17,,.
2020,N sidedress timing,C800,337,2,37.5,2,30,36000,37895,1015,1,20349B1015,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC66-17,,.
2020,N sidedress timing,C800,341,2,37.5,2,30,36000,37895,1016,1,20349B1016,1,180 Broad,Broad,Pre,180 Broad,DKC63-90,,.
2020,N sidedress timing,C800,341,3,37.5,2,30,36000,37895,1017,1,20349B1017,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC61-40,,.
2020,N sidedress timing,C800,337,3,37.5,2,30,36000,37895,1018,1,20349B1018,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC66-17,,.
2020,N sidedress timing,C800,333,3,37.5,2,30,36000,37895,1019,1,20349B1019,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC66-17,,.
2020,N sidedress timing,C800,329,3,37.5,2,30,36000,37895,1020,1,20349B1020,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC63-90,,0.41479798
2020,N sidedress timing,C800,325,3,37.5,2,30,36000,37895,1021,1,20349B1021,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC64-34,,0.488254902
2020,N sidedress timing,C800,321,3,37.5,2,30,36000,37895,1022,1,20349B1022,8,90 Band + 90 @ V8,Band,V8,90 Band,DKC64-34,,0.463529412
2020,N sidedress timing,C800,317,3,37.5,2,30,36000,37895,1023,1,20349B1023,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC66-17,,0.468454545
2020,N sidedress timing,C800,313,3,37.5,2,30,36000,37895,1024,1,20349B1024,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC61-40,,0.438542857
2020,N sidedress timing,C800,309,3,37.5,2,30,36000,37895,1025,1,20349B1025,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC61-40,,0.487459184
2020,N sidedress timing,C800,305,3,37.5,2,30,36000,37895,1026,1,20349B1026,1,180 Broad,Broad,Pre,180 Broad,DKC66-17,,0.517048077
2020,N sidedress timing,C800,301,3,37.5,2,30,36000,37895,1027,1,20349B1027,3,90 Broad + 90 @ V8,Broad,V8,90 Broad,DKC64-34,may have liquid band,0.503757009
2020,N sidedress timing,C800,297,3,37.5,2,30,36000,37895,1028,1,20349B1028,1,180 Broad,Broad,Pre,180 Broad,DKC61-40,,0.508451923
2020,N sidedress timing,C800,293,3,37.5,2,30,36000,37895,1029,1,20349B1029,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC64-34,,0.541805825
2020,N sidedress timing,C800,289,3,37.5,2,30,36000,37895,1030,1,20349B1030,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC61-40,,0.53309
2020,N sidedress timing,C800,285,3,37.5,2,30,36000,37895,1031,1,20349B1031,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC61-40,,0.463855769
2020,N sidedress timing,C800,281,3,37.5,2,30,36000,37895,1032,1,20349B1032,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC63-90,,0.440366972
2020,N sidedress timing,C800,281,4,37.5,2,30,36000,37895,1033,1,20349B1033,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC61-40,,0.529743119
2020,N sidedress timing,C800,285,4,37.5,2,30,36000,37895,1034,1,20349B1034,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC64-34,,0.509321739
2020,N sidedress timing,C800,289,4,37.5,2,30,36000,37895,1035,1,20349B1035,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC66-17,,0.506519231
2020,N sidedress timing,C800,293,4,37.5,2,30,36000,37895,1036,1,20349B1036,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC64-34,,0.539730769
2020,N sidedress timing,C800,297,4,37.5,2,30,36000,37895,1037,1,20349B1037,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC66-17,,0.499794393
2020,N sidedress timing,C800,301,4,37.5,2,30,36000,37895,1038,1,20349B1038,10,90 Band + 90 @ R1,Band,R1,90 Band,DKC64-34,,0.504283019
2020,N sidedress timing,C800,305,4,37.5,2,30,36000,37895,1039,1,20349B1039,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC64-34,,0.539697248
2020,N sidedress timing,C800,309,4,37.5,2,30,36000,37895,1040,1,20349B1040,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC61-40,,0.444227723
2020,N sidedress timing,C800,313,4,37.5,2,30,36000,37895,2001,2,20349B2001,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC63-90,,0.438836538
2020,N sidedress timing,C800,317,4,37.5,2,30,36000,37895,2002,2,20349B2002,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC61-40,,0.506761905
2020,N sidedress timing,C800,321,4,37.5,2,30,36000,37895,2003,2,20349B2003,9,90 Band + 90 @ V12,Band,V12,90 Band,DKC61-40,,0.455423077
2020,N sidedress timing,C800,325,4,37.5,2,30,36000,37895,2004,2,20349B2004,2,90 Broad + 90 @ V4,Broad,V4,90 Broad + 90 @ V4,DKC64-34,,0.499711538
